paper_id,year,topic,ethics_theme,ethics_substantive,ethics_justification,dominant_type,prop_industry_research_lab,prop_other,prop_research_university,prop_tech_company
2105.02851,2021,0,A,1,"The paper substantively engages with AI ethics by formally addressing how ethical obligations—distinct from mere performance or safety metrics—should be formalized, verified, and enforced in autonomous systems, treating fairness, accountability, and normative constraints as core technical and philosophical problems.",research university,0.0,0.0,1.0,0.0
2202.02776,2022,0,B,1,"The paper substantively engages with AI ethics by proposing a governance framework explicitly grounded in human rights, democracy, rule of law, fairness, accountability, and individual autonomy, referencing international human rights standards and normative impact assessment methodologies.",other,0.0,1.0,0.0,0.0
2207.10991,2022,1,A,1,"The paper explicitly engages with normative concerns about fairness, justice, societal harm, and accountability for historically marginalized groups, framing algorithmic fairness as a matter of legal compliance, social responsibility, and ethical obligation rather than merely a technical performance metric.",research university,0.0,0.0,1.0,0.0
2209.07667,2022,0,B,1,"The paper substantively engages with AI ethics by addressing consent, harm to human artists, accountability of dataset/model creators, and governance through proposed regulatory and community guidelines.",research university,0.0,0.0,1.0,0.0
2203.16275,2022,0,A,1,"The paper substantively engages with AI ethics by developing a formal framework for encoding ethical and legal norms into reinforcement learning agents, reasoning about normative conflicts, and addressing genuine concerns about how autonomous agents should comply with ethical obligations and prohibitions.",research university,0.0,0.0,1.0,0.0
2206.00474,2022,0,A,1,"The paper substantively engages with AI ethics by addressing fairness as a genuine normative concern in high-stakes domains (loan applications), involving stakeholder co-design to identify fairness requirements, and explicitly aiming to make AI systems ""fairer and more transparent for everyone"" through accountability-focused human-in-the-loop design.",other,0.0,0.667,0.333,0.0
2306.17408,2023,0,A,1,"The ethical considerations section genuinely engages with normative concerns, specifically addressing harms from false positives affecting legitimate users, inherited biases from language models perpetuating stereotypes, GNN discrimination against demographic groups, and the importance of human oversight rather than fully automated decision-making.",research university,0.0,0.0,1.0,0.0
2306.04025,2023,0,A,1,"The paper substantively engages with AI ethics by explicitly discussing accountability, trust, fairness, bias, discrimination, social inequalities, harm in high-stakes domains, and governance frameworks (NIST RMF, EU AI Act) as motivating concerns for explainable AI development.",other,0.286,0.714,0.0,0.0
2306.02488,2023,0,A,1,The paper substantively engages with privacy as a normative concern—specifically protecting users from unwanted attribute inference on social media—framing its technical contributions around genuine harm reduction and individual autonomy over personal data disclosure.,research university,0.0,0.0,1.0,0.0
2305.18269,2023,0,A,1,"The paper substantively engages with AI ethics by developing a normative framework for evaluating whether AI agents act morally for the right reasons, drawing on moral philosophy (Kantian ethics, intentionality, blame/praise) and explicitly addressing accountability and moral cognition in AI systems.",industry research lab,0.857,0.143,0.0,0.0
2301.05154,2023,0,B,1,"The paper explicitly acknowledges normative concerns about worker underpayment, mistreatment, dataset bias, and data licensing, framing these as genuine ethical responsibilities for researchers using the platform.",industry research lab,1.0,0.0,0.0,0.0
2403.16909,2024,0,A,1,"The paper substantively engages with AI ethics by explicitly investigating demographic biases in LLM-generated mental health data, warning against using synthetic data to reinforce biases, and framing its research purpose around understanding potential harms and risks of LLMs in sensitive mental health contexts.",research university,0.0,0.0,1.0,0.0
2403.04511,2024,0,A,1,"The paper substantively engages with ethical concerns around fairness and harm by identifying demographic disparities (age, gender, location) in filter bubble susceptibility and recommending platform-level interventions to protect vulnerable user groups from algorithmic information restriction.",research university,0.0,0.0,1.0,0.0
2401.06375,2024,0,C,1,"The paper substantively engages with ethical concerns around inclusion, accessibility, and equity for individuals with cognitive disabilities, framing AI-driven process design as a matter of workplace fairness and social inclusion rather than merely a technical optimization problem.",research university,0.0,0.0,1.0,0.0
2402.09844,2024,0,A,1,"The Broader Impact section raises genuine normative concerns about safety, cross-domain behavioral transfer risks, and the need for value alignment in generalist agents, going beyond purely technical framing.",other,0.25,0.5,0.25,0.0
2402.04382,2024,0,A,1,"The paper explicitly situates its work in consequential high-stakes domains (loan approvals, pretrial bail, hiring) and engages with explainability, counterfactual reasoning, and algorithmic recourse (citing FAccT work), reflecting genuine normative concern about accountability and fairness in automated decision-making.",research university,0.2,0.0,0.8,0.0
2404.11898,2024,0,B,1,"The paper substantively engages with AI ethics by examining algorithmic bias, accountability, fairness, consumer rights, and governance frameworks in the context of financial inclusion and regulatory adaptation, treating these as genuine normative concerns rather than merely technical metrics.",research university,0.0,0.0,1.0,0.0
2501.13533,2025,0,C,1,"The paper substantively engages with AI ethics by developing a normative theory of AI personhood, discussing the ethical and legal treatment of AI systems, questioning the justice of human control over potentially person-hood-bearing AI, and explicitly invoking concerns about unjust repression and harmonious coexistence.",research university,0.0,0.0,1.0,0.0
2501.11223,2025,0,C,1,"The paper substantively engages with equity and access concerns by explicitly framing the proprietary and costly nature of advanced RLMs as creating a ""rich AI"" vs. ""poor AI"" divide that threatens systemic inequity, and positions democratizing access as a core ethical motivation for the work.",research university,0.0,0.158,0.737,0.105
2501.10476,2025,0,C,1,"The paper substantively engages with ethical concerns about governance and societal harm by examining how AI systems affect collective human knowledge, advocating for critical appraisal of human-AI learning, and explicitly discussing the role of regulation and interface design in mediating these impacts.",research university,0.0,0.333,0.667,0.0
2501.05790,2025,0,A,1,"The paper substantively engages with AI ethics by addressing normative concerns about biased human feedback (sycophancy, length bias) corrupting reward models, framing bias detection and labeler oversight as critical problems for building reliable, aligned AI systems, and explicitly connecting the work to scalable oversight as a broader ethical goal.",research university,0.0,0.0,1.0,0.0
2502.01116,2025,0,A,1,"The paper substantively engages with AI ethics by investigating safety alignment degradation in LLMs, analyzing how benign fine-tuning can inadvertently reduce safety guardrails, and discussing accountability concerns around reward model reliability and harmful outputs—reflecting genuine normative concern about harm prevention and responsible model development.",research university,0.0,0.222,0.778,0.0
2502.05608,2025,0,B,1,"The paper explicitly addresses accountability, ethical use of AI management tools, and regulatory compliance in multi-operator networks as core motivations, going beyond purely technical concerns to engage with governance and responsibility gaps in AI-driven network management.",research university,0.0,0.0,1.0,0.0
2503.08175,2025,0,A,1,"The paper substantively engages with privacy as a normative concern—addressing harm prevention and data protection in sensitive domains like healthcare and finance—going beyond technical optimization to consider heterogeneous privacy rights, data minimization principles, and governance of multi-agent information sharing.",research university,0.143,0.0,0.857,0.0
