paper_id,year,extraction_method,stage1_response,ethics_substantive,ethics_justification,input_tokens_s1,output_tokens_s1,stage2_response,ethics_theme,theme_justification,input_tokens_s2,output_tokens_s2
1808.03598,2018,sections,"SCORE: 0
REASON: The paper is entirely focused on theoretical computer science and computational models, with no substantive engagement with AI ethics topics such as fairness, harm, accountability, or governance.",0,"The paper is entirely focused on theoretical computer science and computational models, with no substantive engagement with AI ethics topics such as fairness, harm, accountability, or governance.",1070,46,,,,0,0
1810.06765,2018,sections,"SCORE: 0
REASON: While the paper discusses privacy laws, patient consent, and re-identification risks, these are treated as technical and regulatory constraints motivating the development of de-identification systems rather than as subjects of genuine normative ethical analysis.",0,"While the paper discusses privacy laws, patient consent, and re-identification risks, these are treated as technical and regulatory constraints motivating the development of de-identification systems rather than as subjects of genuine normative ethical analysis.",1115,56,,,,0,0
1811.11623,2018,sections,"SCORE: 1
REASON: Section 6 describes substantive accompanying ethical research that explicitly engages with normative questions about security vs. freedom, societal responsibility, and the right or wrong use of surveillance technology, going beyond mere technical performance considerations.",1,"Section 6 describes substantive accompanying ethical research that explicitly engages with normative questions about security vs. freedom, societal responsibility, and the right or wrong use of surveillance technology, going beyond mere technical performance considerations.",1197,57,"CATEGORY: B
REASON: The paper primarily frames AI ethics through institutional oversight, mandatory ethical research requirements tied to national funding programs, and governance mechanisms for the appropriate use of security surveillance technology by law enforcement agencies.",B,"The paper primarily frames AI ethics through institutional oversight, mandatory ethical research requirements tied to national funding programs, and governance mechanisms for the appropriate use of security surveillance technology by law enforcement agencies.",1221,47
1809.06481,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper focuses entirely on technical challenges of talent search and recommendation systems (indexing, ranking, query complexity, metrics), with only a passing mention of ""fairness modeling"" in an author bio rather than any substantive normative engagement with ethical concerns.",0,"The paper focuses entirely on technical challenges of talent search and recommendation systems (indexing, ranking, query complexity, metrics), with only a passing mention of ""fairness modeling"" in an author bio rather than any substantive normative engagement with ethical concerns.",1529,63,,,,0,0
1802.04181,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical aspects of state representation learning for robotics—covering dimensionality reduction, feature learning, and reinforcement learning efficiency—with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical aspects of state representation learning for robotics—covering dimensionality reduction, feature learning, and reinforcement learning efficiency—with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",1425,62,,,,0,0
1811.05106,2018,sections,"SCORE: 0
REASON: The paper focuses on technical interpretability of neural networks through question-asking mechanisms, with no substantive engagement with normative ethical concerns like fairness, harm, accountability, or governance.",0,"The paper focuses on technical interpretability of neural networks through question-asking mechanisms, with no substantive engagement with normative ethical concerns like fairness, harm, accountability, or governance.",482,49,,,,0,0
1808.04317,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper is entirely focused on technical game development algorithms (path generation for NPCs using Wave Function Collapse) with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper is entirely focused on technical game development algorithms (path generation for NPCs using Wave Function Collapse) with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",1756,52,,,,0,0
1812.11142,2018,fallback_empty_sections,"SCORE: 0
REASON: The paper focuses entirely on creating a diagrammatic language (DIAL) for representing AI system architectures, with mentions of ""interpretability"" and ""transparency"" used in a purely technical/communicative sense rather than engaging with normative ethical concerns.",0,"The paper focuses entirely on creating a diagrammatic language (DIAL) for representing AI system architectures, with mentions of ""interpretability"" and ""transparency"" used in a purely technical/communicative sense rather than engaging with normative ethical concerns.",1001,63,,,,0,0
1805.07547,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical aspects of parameterized skill learning and autonomous goal discovery in robotics, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical aspects of parameterized skill learning and autonomous goal discovery in robotics, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",948,51,,,,0,0
1804.10829,2018,sections,"SCORE: 0
REASON: The paper focuses on formal verification and technical security analysis of DNNs (collision avoidance, adversarial robustness) using interval arithmetic, without engaging in normative ethical discourse about fairness, accountability, justice, or governance.",0,"The paper focuses on formal verification and technical security analysis of DNNs (collision avoidance, adversarial robustness) using interval arithmetic, without engaging in normative ethical discourse about fairness, accountability, justice, or governance.",1617,61,,,,0,0
1806.03793,2018,sections,"SCORE: 0
REASON: The paper is entirely focused on technical improvements to reinforcement learning transfer efficiency, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper is entirely focused on technical improvements to reinforcement learning transfer efficiency, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",1072,45,,,,0,0
1809.08860,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical performance metrics (prediction error, architectural complexity) for energy management systems, with no substantive engagement with ethical concepts like fairness, accountability, harm, or justice.",0,"The paper focuses entirely on technical performance metrics (prediction error, architectural complexity) for energy management systems, with no substantive engagement with ethical concepts like fairness, accountability, harm, or justice.",1043,51,,,,0,0
1810.05983,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical methods for medical question similarity matching using LSTM, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical methods for medical question similarity matching using LSTM, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",615,48,,,,0,0
1810.08460,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical aspects of distributed multi-agent planning algorithms, with no normative engagement with fairness, harm, accountability, or governance concerns.",0,"The paper focuses entirely on technical aspects of distributed multi-agent planning algorithms, with no normative engagement with fairness, harm, accountability, or governance concerns.",1150,44,,,,0,0
1804.02257,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on robotics, morphological development, and evolutionary algorithms for soft robots, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on robotics, morphological development, and evolutionary algorithms for soft robots, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",866,51,,,,0,0
1806.10755,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical aspects of semantic vector learning, incremental learning, and knowledge graph representations, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical aspects of semantic vector learning, incremental learning, and knowledge graph representations, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",827,51,,,,0,0
1805.07733,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical improvements to multi-agent communication efficiency and cooperation performance, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical improvements to multi-agent communication efficiency and cooperation performance, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",657,49,,,,0,0
1805.06861,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical contributions to Answer Set Programming for spatio-temporal reasoning, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical contributions to Answer Set Programming for spatio-temporal reasoning, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",1178,48,,,,0,0
1810.07159,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on the technical and infrastructural challenges of packaging, distributing, and deploying ML models, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on the technical and infrastructural challenges of packaging, distributing, and deploying ML models, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",1371,55,,,,0,0
1804.05212,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical optimization of question sequencing using multi-armed bandits and learning gains, with no substantive engagement with fairness, harm, accountability, or governance beyond a brief technical note about performance for weaker students.",0,"The paper focuses entirely on technical optimization of question sequencing using multi-armed bandits and learning gains, with no substantive engagement with fairness, harm, accountability, or governance beyond a brief technical note about performance for weaker students.",735,60,,,,0,0
1808.01741,2018,sections,"SCORE: 0
REASON: This paper is purely focused on logical semantics, ontological frameworks, and natural language processing theory, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"This paper is purely focused on logical semantics, ontological frameworks, and natural language processing theory, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",752,50,,,,0,0
1812.02648,2018,sections,"SCORE: 0
REASON: The paper is entirely focused on technical aspects of deep reinforcement learning stability, specifically the ""deadly triad"" of divergence, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper is entirely focused on technical aspects of deep reinforcement learning stability, specifically the ""deadly triad"" of divergence, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",555,58,,,,0,0
1802.02534,2018,sections,"SCORE: 0
REASON: The paper is purely technical, focused on compiling eye-tracking datasets and evaluation metrics for visual saliency and scanpath prediction, with no engagement with ethical concerns such as fairness, harm, or governance.",0,"The paper is purely technical, focused on compiling eye-tracking datasets and evaluation metrics for visual saliency and scanpath prediction, with no engagement with ethical concerns such as fairness, harm, or governance.",676,55,,,,0,0
1801.01604,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical contributions (unifying neural and probabilistic graph frameworks) with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical contributions (unifying neural and probabilistic graph frameworks) with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",819,49,,,,0,0
1810.02612,2018,sections,"SCORE: 0
REASON: The paper is entirely focused on technical aspects of linear temporal logic, motion planning, and computational efficiency for autonomous vehicles, with no substantive normative engagement with fairness, harm, accountability, or governance.",0,"The paper is entirely focused on technical aspects of linear temporal logic, motion planning, and computational efficiency for autonomous vehicles, with no substantive normative engagement with fairness, harm, accountability, or governance.",1339,53,,,,0,0
1809.02317,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical optimization of web service composition using QoS parameters, Pareto fronts, and algorithmic performance, with no normative engagement with fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical optimization of web service composition using QoS parameters, Pareto fronts, and algorithmic performance, with no normative engagement with fairness, harm, accountability, or governance.",1204,56,,,,0,0
1810.06617,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper is entirely focused on technical optimization of OWL reasoning performance using machine learning heuristics, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper is entirely focused on technical optimization of OWL reasoning performance using machine learning heuristics, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",1927,51,,,,0,0
1806.00201,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical aspects of novelty search, curiosity-driven exploration, and attentional mechanisms in reinforcement learning, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical aspects of novelty search, curiosity-driven exploration, and attentional mechanisms in reinforcement learning, with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",1585,60,,,,0,0
1808.00981,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper focuses on improving the scientific accuracy of emotion recognition systems through user-dependent models and contextual analysis, without substantively engaging with ethical concerns about fairness, harm, accountability, or governance of such surveillance-capable technology.",0,"The paper focuses on improving the scientific accuracy of emotion recognition systems through user-dependent models and contextual analysis, without substantively engaging with ethical concerns about fairness, harm, accountability, or governance of such surveillance-capable technology.",609,58,,,,0,0
1805.09169,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical methods (fuzzy set theory, soft set theory) for diagnosing dengue fever, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical methods (fuzzy set theory, soft set theory) for diagnosing dengue fever, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",1532,57,,,,0,0
1803.09840,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical performance metrics (precision, recall, F1) for ontological classification tasks using Linked Open Data, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical performance metrics (precision, recall, F1) for ontological classification tasks using Linked Open Data, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",1569,59,,,,0,0
1811.12455,2018,sections,"SCORE: 0
REASON: The excerpt discusses bounded rationality concepts from economics without engaging in normative ethical concerns about fairness, harm, accountability, or governance in AI systems.",0,"The excerpt discusses bounded rationality concepts from economics without engaging in normative ethical concerns about fairness, harm, accountability, or governance in AI systems.",218,42,,,,0,0
1809.05724,2018,fallback_no_target_sections,"SCORE: 0
REASON: This paper focuses entirely on technical NLP tasks (natural language inference, question answering, knowledge graph integration) with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"This paper focuses entirely on technical NLP tasks (natural language inference, question answering, knowledge graph integration) with no substantive engagement with ethical concerns such as fairness, harm, accountability, or governance.",2387,54,,,,0,0
1809.07027,2018,sections,"SCORE: 1
REASON: The paper substantively engages with AI ethics by treating fairness, values, accountability, and governance as genuine normative concerns requiring philosophical conceptualization and practical implementation frameworks, rather than merely as technical performance metrics.",1,"The paper substantively engages with AI ethics by treating fairness, values, accountability, and governance as genuine normative concerns requiring philosophical conceptualization and practical implementation frameworks, rather than merely as technical performance metrics.",1386,55,"CATEGORY: B
REASON: The paper conducts a systematic mapping study to identify and categorize concepts in AI ethics discourse, framing ethics implementation as a matter of establishing frameworks, definitions, and guiding structures for the field—aligning with governance and oversight concerns rather than technical methods or justice-oriented critique.",B,"The paper conducts a systematic mapping study to identify and categorize concepts in AI ethics discourse, framing ethics implementation as a matter of establishing frameworks, definitions, and guiding structures for the field—aligning with governance and oversight concerns rather than technical methods or justice-oriented critique.",1410,68
1802.06767,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper is purely technical, focusing on the architecture of an ontology-driven intelligent software system and knowledge base construction, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper is purely technical, focusing on the architecture of an ontology-driven intelligent software system and knowledge base construction, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",1014,54,,,,0,0
1812.08957,2018,sections,"SCORE: 0
REASON: The paper is purely technical, focusing on the theoretical expressiveness and integration of Bayesian networks and neural networks, with no normative engagement with fairness, harm, accountability, or governance.",0,"The paper is purely technical, focusing on the theoretical expressiveness and integration of Bayesian networks and neural networks, with no normative engagement with fairness, harm, accountability, or governance.",1065,51,,,,0,0
1809.03260,2018,fallback_no_target_sections,"SCORE: 1
REASON: The paper substantively engages with AI ethics by addressing individual discrimination and fairness in AI decision-making systems (e.g., hiring, loans), framing bias detection as a genuine normative concern about preventing unjust differential treatment based on protected attributes like gender and race.",1,"The paper substantively engages with AI ethics by addressing individual discrimination and fairness in AI decision-making systems (e.g., hiring, loans), framing bias detection as a genuine normative concern about preventing unjust differential treatment based on protected attributes like gender and race.",1969,69,"CATEGORY: A
REASON: The paper presents a technical method combining symbolic execution and local explainability to automatically generate test cases for detecting individual discrimination (fairness testing) in AI models.",A,The paper presents a technical method combining symbolic execution and local explainability to automatically generate test cases for detecting individual discrimination (fairness testing) in AI models.,1993,43
1806.01151,2018,sections,"SCORE: 0
REASON: The paper focuses entirely on technical metrics for analyzing game-playing agent decision-making behavior, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical metrics for analyzing game-playing agent decision-making behavior, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",1450,50,,,,0,0
1806.05108,2018,sections,"SCORE: 0
REASON: The paper is entirely focused on mathematical and computational techniques for cellular automata, reservoir computing, and distributed computation, with no substantive normative engagement with fairness, harm, accountability, or governance—only a brief passing mention of AI interpretability as a technical problem.",0,"The paper is entirely focused on mathematical and computational techniques for cellular automata, reservoir computing, and distributed computation, with no substantive normative engagement with fairness, harm, accountability, or governance—only a brief passing mention of AI interpretability as a technical problem.",1489,66,,,,0,0
1803.05402,2018,fallback_no_target_sections,"SCORE: 0
REASON: The paper focuses entirely on technical improvements to deep reinforcement learning architectures for game-playing agents, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical improvements to deep reinforcement learning architectures for game-playing agents, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",1874,50,,,,0,0
1909.01421,2019,sections,"SCORE: 0
REASON: The paper focuses on technical sequence mining, process mining, and grammar inference methodologies with no substantive normative engagement with fairness, harm, accountability, or justice.",0,"The paper focuses on technical sequence mining, process mining, and grammar inference methodologies with no substantive normative engagement with fairness, harm, accountability, or justice.",1433,46,,,,0,0
1907.05553,2019,sections,"SCORE: 0
REASON: The paper focuses entirely on technical aspects of robot control, deep learning, and cognitive modeling for autonomous navigation, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical aspects of robot control, deep learning, and cognitive modeling for autonomous navigation, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",1116,51,,,,0,0
1910.09472,2019,sections,"SCORE: 0
REASON: The paper focuses entirely on technical contributions combining Answer Set Programming and Artificial Neural Networks for neurological disorder analysis, with no substantive engagement with fairness, harm, accountability, or governance concerns.",0,"The paper focuses entirely on technical contributions combining Answer Set Programming and Artificial Neural Networks for neurological disorder analysis, with no substantive engagement with fairness, harm, accountability, or governance concerns.",1589,51,,,,0,0
1903.05614,2019,sections,"SCORE: 0
REASON: The paper is purely technical, focusing on game-theoretic equilibrium-finding algorithms and exploitability metrics with no engagement with normative ethical concerns about fairness, harm, accountability, or governance.",0,"The paper is purely technical, focusing on game-theoretic equilibrium-finding algorithms and exploitability metrics with no engagement with normative ethical concerns about fairness, harm, accountability, or governance.",723,53,,,,0,0
1908.01417,2019,fallback_no_target_sections,"SCORE: 0
REASON: The paper focuses entirely on technical optimization of game parameters using active learning, with no engagement with normative concerns about fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical optimization of game parameters using active learning, with no engagement with normative concerns about fairness, harm, accountability, or governance.",1688,44,,,,0,0
1902.09706,2019,sections,"SCORE: 0
REASON: The paper is entirely focused on technical aspects of SAT formula generation and solver benchmarking, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper is entirely focused on technical aspects of SAT formula generation and solver benchmarking, with no engagement with normative ethical concerns such as fairness, harm, accountability, or governance.",1935,51,,,,0,0
1909.09213,2019,fallback_empty_sections,"SCORE: 0
REASON: The paper focuses entirely on technical aspects of parallel constraint solving using GPU acceleration, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical aspects of parallel constraint solving using GPU acceleration, with no engagement with ethical concerns such as fairness, harm, accountability, or governance.",699,45,,,,0,0
1903.07198,2019,sections,"SCORE: 1
REASON: The paper substantively engages with ethics by explicitly acknowledging the ""troubling similarities"" between explanation mechanisms and deception/lies, raising a genuine normative concern about honesty and manipulation in human-AI interaction.",1,"The paper substantively engages with ethics by explicitly acknowledging the ""troubling similarities"" between explanation mechanisms and deception/lies, raising a genuine normative concern about honesty and manipulation in human-AI interaction.",710,56,"CATEGORY: A
REASON: The paper focuses on technical mechanisms for generating model reconciliation explanations in AI systems, including learning user models, POMDP formulations, and the computational challenges of producing helpful explanatory messages.",A,"The paper focuses on technical mechanisms for generating model reconciliation explanations in AI systems, including learning user models, POMDP formulations, and the computational challenges of producing helpful explanatory messages.",734,51
1910.13526,2019,sections,"SCORE: 0
REASON: The paper's concern with ""safety"" is purely technical—focused on collision avoidance and formal verification of physical constraints—with no normative engagement with fairness, harm to persons, accountability, justice, or governance.",0,"The paper's concern with ""safety"" is purely technical—focused on collision avoidance and formal verification of physical constraints—with no normative engagement with fairness, harm to persons, accountability, justice, or governance.",1148,57,,,,0,0
1905.13178,2019,sections,"SCORE: 0
REASON: The paper discusses AI governance, safety, and societal integration at a high level using historical analogies, but it does not engage substantively with normative ethical concepts like fairness, accountability, justice, or harm—it treats these concerns primarily as policy/regulatory milestones rather than exploring their ethical dimensions.",0,"The paper discusses AI governance, safety, and societal integration at a high level using historical analogies, but it does not engage substantively with normative ethical concepts like fairness, accountability, justice, or harm—it treats these concerns primarily as policy/regulatory milestones rather than exploring their ethical dimensions.",1298,75,,,,0,0
1902.09335,2019,sections,"SCORE: 0
REASON: The paper focuses entirely on technical improvements to Monte Carlo Tree Search for game playing, with no engagement with ethical concepts such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical improvements to Monte Carlo Tree Search for game playing, with no engagement with ethical concepts such as fairness, harm, accountability, or governance.",2044,46,,,,0,0
1909.07116,2019,sections,"SCORE: 0
REASON: The paper focuses entirely on technical performance metrics related to temperature control and energy consumption, with no engagement with ethical concepts such as fairness, harm, accountability, or governance.",0,"The paper focuses entirely on technical performance metrics related to temperature control and energy consumption, with no engagement with ethical concepts such as fairness, harm, accountability, or governance.",250,46,,,,0,0
1905.11474,2019,sections,"SCORE: 0
REASON: While the paper references ethics-adjacent concepts like bias, accountability, and the ""right of explanation"" in passing, its actual contribution is a technical method for improving model explainability and interpretability in bankruptcy prediction, with no substantive normative analysis of fairness, harm, or justice.",0,"While the paper references ethics-adjacent concepts like bias, accountability, and the ""right of explanation"" in passing, its actual contribution is a technical method for improving model explainability and interpretability in bankruptcy prediction, with no substantive normative analysis of fairness, harm, or justice.",1434,71,,,,0,0
1906.06251,2019,sections,"SCORE: 0
REASON: This paper is entirely technical, focusing on SAT solving algorithms and mathematical problem encodings with no normative ethical concerns about fairness, harm, accountability, or governance.",0,"This paper is entirely technical, focusing on SAT solving algorithms and mathematical problem encodings with no normative ethical concerns about fairness, harm, accountability, or governance.",860,46,,,,0,0
1907.04659,2019,sections,"SCORE: 0
REASON: The paper appears to engage with AI and intelligence from a philosophical and technical definitional perspective (drawing on reinforcement learning, evolution, and cognitive science), without substantive normative concern for fairness, harm, accountability, or governance.",0,"The paper appears to engage with AI and intelligence from a philosophical and technical definitional perspective (drawing on reinforcement learning, evolution, and cognitive science), without substantive normative concern for fairness, harm, accountability, or governance.",596,59,,,,0,0
1901.01970,2019,sections,"SCORE: 0
REASON: The paper focuses entirely on mathematical modeling of time preference, discounting functions, and prospect theory without engaging with normative ethical concerns about fairness, harm, accountability, or governance.",0,"The paper focuses entirely on mathematical modeling of time preference, discounting functions, and prospect theory without engaging with normative ethical concerns about fairness, harm, accountability, or governance.",675,48,,,,0,0
1903.03411,2019,sections,"SCORE: 0
REASON: The paper is purely technical, focused on combining Answer Set Programming with Reinforcement Learning to solve spatial puzzles, with no engagement with ethical issues such as fairness, harm, accountability, or governance.",0,"The paper is purely technical, focused on combining Answer Set Programming with Reinforcement Learning to solve spatial puzzles, with no engagement with ethical issues such as fairness, harm, accountability, or governance.",1375,53,,,,0,0
